Date,Open,High,Low,Close,Volume
2023-11-16,36600,37100,35750,37000,502295
2023-11-17,37100,37350,36150,36600,416911
2023-11-20,36250,37050,36250,36900,341077
2023-11-21,37200,38350,36650,37500,881141
2023-11-22,37050,37800,36950,37650,315500
2023-11-23,37700,37800,36750,36850,518688
2023-11-24,37100,37550,36850,37050,336657
2023-11-27,36900,37400,36400,37000,370011
2023-11-28,37150,38100,36850,37550,682464
2023-11-29,37400,37800,36950,37350,399688
2023-11-30,37450,38650,37450,38450,920001
2023-12-01,38450,39400,37900,38900,866095
2023-12-04,38700,39050,38000,38200,495091
2023-12-05,37800,38600,37400,37700,568902
2023-12-06,37900,39100,37450,38850,511830
2023-12-07,38550,38550,37850,38200,346870
2023-12-08,38950,40100,38900,39250,1010015
2023-12-11,39550,39550,38350,38400,467554
2023-12-12,38850,38950,37900,38250,412153
2023-12-13,38950,40350,38250,38250,1304830
2023-12-14,38800,39250,38500,39250,658721
2023-12-15,39300,39450,38050,38150,539379
2023-12-18,38250,38800,38250,38600,292301
2023-12-19,38600,38750,38200,38500,286367
2023-12-20,38700,38800,37200,37800,890752
2023-12-21,37300,38050,37250,37550,484928
2023-12-22,37900,38100,37500,37700,400523
2023-12-26,37700,37700,37050,37450,411334
2023-12-27,37550,38800,37550,38650,595762
2023-12-28,38500,39050,38200,38700,456731
2024-01-02,38550,41900,38500,41450,2089267
2024-01-03,40600,42150,40000,41750,1059114
2024-01-04,41250,42900,41100,42100,1032263
2024-01-05,42600,42600,40800,41250,630680
2024-01-08,40900,41750,40600,41550,366372
2024-01-09,42000,42450,40100,40450,846160
2024-01-10,40600,40700,38900,39650,659053
2024-01-11,39750,42300,39350,42050,1067357
2024-01-12,42650,44650,41500,41800,2452969
2024-01-15,41850,42050,40700,41000,553590
2024-01-16,40900,41850,40200,40650,526368
2024-01-17,41200,41850,39650,39900,610791
2024-01-18,40150,41050,39700,40700,509639
2024-01-19,41450,42450,40950,42000,949227
2024-01-22,42900,43000,41500,42200,835784
2024-01-23,42300,42300,40950,41400,474455
2024-01-24,41150,42700,41050,42500,518080
2024-01-25,43150,44200,42100,42200,1252852
2024-01-26,41800,42300,41250,41700,364460
2024-01-29,41700,42700,40350,40600,686259
2024-01-30,40950,41000,39400,40050,595294
2024-01-31,39600,39800,38500,38650,541318
2024-02-01,38500,39050,37650,38300,596444
2024-02-02,38800,40350,38750,39750,594708
2024-02-05,39900,40150,38200,38350,444783
2024-02-06,38650,39850,37600,39250,399958
2024-02-07,39250,39400,38000,38200,396173
2024-02-08,38400,39000,38100,38250,414466
2024-02-13,39000,41550,38350,40000,1415721
2024-02-14,39100,40400,39000,40300,481978
2024-02-15,40550,40800,39500,39900,476243
2024-02-16,40000,40050,38450,38750,605063
2024-02-19,38750,39350,38250,38600,530666
2024-02-20,38500,38800,37750,38350,483960
2024-02-21,37900,38800,37700,38200,485298
2024-02-22,38800,38900,38000,38200,505438
2024-02-23,38450,38550,36500,36750,1063574
2024-02-26,36400,36850,35750,36150,737377
2024-02-27,35650,35950,35000,35200,656922
2024-02-28,35400,37600,35350,36800,1131591
2024-02-29,36400,37800,36000,37200,628677
2024-03-04,38200,38600,37500,38350,831708
2024-03-05,38400,38400,37500,37950,349571
2024-03-06,37450,41650,37200,41500,2473474
2024-03-07,41500,41950,39850,40250,1543689
2024-03-08,40950,41100,39650,40150,851603
2024-03-11,39050,40500,38650,40100,701672
2024-03-12,40100,41200,39750,40500,639633
2024-03-13,40900,40950,39350,39750,608362
2024-03-14,39400,39750,38300,38700,623771
2024-03-15,38100,39150,38050,38650,398671
2024-03-18,38950,39500,38500,39300,423235
2024-03-19,38950,39300,38500,39100,309547
2024-03-20,39500,41550,38750,41150,1521772
2024-03-21,42350,48700,42100,47950,14410948
2024-03-22,47200,47400,43800,44700,5006047
2024-03-25,44550,45150,43950,44000,1767174
2024-03-26,44750,45350,43600,43750,2315077
2024-03-27,43300,45150,42750,44550,1812695
2024-03-28,44500,47350,44150,46600,4241031
2024-03-29,47150,49700,45750,48250,5090351
2024-04-01,48650,51500,47300,50100,3426274
2024-04-02,50600,51500,48150,48950,2721075
2024-04-03,48000,48850,46900,47150,1449292
2024-04-04,47950,49200,47600,48000,1660547
2024-04-05,46750,48600,46700,48450,1231625
2024-04-08,49100,49100,46150,46300,1210462
2024-04-09,46350,46900,45300,46500,725772
2024-04-11,45650,48750,45650,47950,1299553
2024-04-12,49200,49200,46550,46950,1204846
2024-04-15,46150,48150,45900,48050,1051418
2024-04-16,47300,48500,45350,46100,1167152
2024-04-17,46800,47500,45950,46150,947372
2024-04-18,45600,46900,45150,46550,850368
2024-04-19,45650,45650,42250,44350,1985835
2024-04-22,43850,44250,42500,43350,944283
2024-04-23,43800,44000,43000,43000,477422
2024-04-24,44050,44650,43700,43750,811752
2024-04-25,42950,44100,42600,42850,661574
2024-04-26,43650,44450,43100,44050,812359
2024-04-29,44750,44950,43450,44200,615388
2024-04-30,43900,44700,43300,43400,535087
2024-05-02,42800,44650,42800,44450,520083
2024-05-03,45000,46250,43900,45200,924245
2024-05-07,46100,46750,46000,46350,737746
2024-05-08,46350,47650,45500,47200,888941
2024-05-09,47800,49450,47650,47800,2208591
2024-05-10,47950,48450,45950,46650,999994
2024-05-13,46750,46850,44200,44550,1086657
2024-05-14,44900,45050,44100,44300,452499
2024-05-16,45100,45550,44100,44350,681165
2024-05-17,44500,44750,43350,43450,541199
2024-05-20,43500,43700,42500,43200,595948
2024-05-21,43800,44850,43400,44150,593861
2024-05-22,44250,45000,43450,44550,432650
2024-05-23,45000,45050,43300,43650,556586
2024-05-24,43000,43250,41650,41800,822784
2024-05-27,41750,42700,41500,42700,469451
2024-05-28,42900,45200,42500,44350,1183829
2024-05-29,44600,44700,43000,43000,499909
2024-05-30,42700,43000,42000,42550,428035
2024-05-31,42550,42700,41550,41950,566428
2024-06-03,42000,43100,41800,42650,413760
2024-06-04,42650,42800,41900,42100,347136
2024-06-05,43000,43500,42450,42500,397134
2024-06-07,42950,43950,42650,43500,514477
2024-06-10,43400,43500,42650,43200,251848
2024-06-11,43200,43450,42300,42300,350895
2024-06-12,42300,42950,42150,42500,310636
2024-06-13,43300,43350,42050,42050,835878
2024-06-14,42250,42500,41200,41350,658210
2024-06-17,41300,41400,40250,40750,486479
2024-06-18,41250,42250,41200,42200,532686
2024-06-19,42600,43150,42150,42850,528252
2024-06-20,42850,43100,41550,41800,508500
2024-06-21,41350,41400,40100,40250,651676
2024-06-24,40250,40250,39500,39900,348938
2024-06-25,39550,39800,38800,39300,440360
2024-06-26,39500,40500,39150,40350,359808
2024-06-27,39850,40550,39650,40100,240743
2024-06-28,40200,40350,39700,40050,199030
2024-07-01,39800,41050,39800,40200,329015
2024-07-02,40050,40250,38000,38500,821037
2024-07-03,38450,38650,37400,38400,632762
2024-07-04,38600,40100,38600,40000,627160
2024-07-05,41050,41400,40150,40500,679935
2024-07-08,41000,41700,40150,40400,454197
2024-07-09,40600,40750,39600,39750,513311
2024-07-10,39750,39750,38200,38650,820678
2024-07-11,39000,39300,38550,38600,538019
2024-07-12,38350,38550,37900,38300,433797
2024-07-15,38550,39150,37850,38900,395437
2024-07-16,38900,39050,38500,38600,283744
2024-07-17,38750,38750,37350,37500,565558
2024-07-18,36350,37550,36150,37550,552539
2024-07-19,37100,38050,36900,37600,306759
