Date,Open,High,Low,Close,Volume
2023-03-31,10450,10630,10445,10570,84088
2023-04-03,10600,10865,10600,10765,128942
2023-04-04,10890,11090,10875,10980,184970
2023-04-05,11000,11330,11000,11285,175114
2023-04-06,11355,11375,11120,11155,169817
2023-04-07,11170,11170,10935,11065,140214
2023-04-10,11065,11330,10945,11285,162067
2023-04-11,11385,11425,10980,11165,177341
2023-04-12,11220,11435,11200,11330,89031
2023-04-13,11380,11380,11195,11335,65083
2023-04-14,11380,11425,11185,11250,58346
2023-04-17,11300,11560,11300,11560,116063
2023-04-18,11640,11650,11465,11595,107664
2023-04-19,11670,11825,11625,11785,110316
2023-04-20,11885,12540,11850,12175,725638
2023-04-21,12230,12235,11785,12105,344772
2023-04-24,12255,12720,12225,12325,557459
2023-04-25,12560,12855,12325,12650,662788
2023-04-26,12575,12575,11850,12090,455688
2023-04-27,12005,12475,11770,12340,376287
2023-04-28,12375,12405,11605,11700,351000
2023-05-02,11690,12040,11600,11995,234520
2023-05-03,11970,12270,11935,11960,229764
2023-05-04,11985,12100,11735,11800,150260
2023-05-08,11975,12100,11860,11880,159102
2023-05-09,11910,11910,11465,11540,250904
2023-05-10,11630,11770,11490,11535,118748
2023-05-11,11615,11895,11605,11830,176481
2023-05-12,11855,11860,11470,11580,268391
2023-05-15,11525,11645,11440,11510,113759
2023-05-16,11520,11565,11430,11515,75133
2023-05-17,11515,11570,11355,11445,107490
2023-05-18,11575,11645,11530,11570,69424
2023-05-19,11695,11785,11580,11765,151516
2023-05-22,11875,12105,11865,12040,216204
2023-05-23,12135,12135,11870,11970,193488
2023-05-24,12030,12030,11825,11915,148048
2023-05-25,11850,11875,11725,11805,102044
2023-05-26,11850,11920,11550,11600,136990
2023-05-30,11760,11760,11520,11590,127234
2023-05-31,11660,11700,11575,11625,113409
2023-06-01,11680,11855,11630,11685,94474
2023-06-02,11745,11985,11700,11965,156825
2023-06-05,12055,12100,11850,11890,111717
2023-06-07,11880,12010,11865,11865,148322
2023-06-08,11900,11965,11850,11900,92804
2023-06-09,12000,12000,11800,11885,94980
2023-06-12,11855,12080,11855,11960,130185
2023-06-13,11960,12025,11750,11870,115792
2023-06-14,11900,12080,11875,11970,160275
2023-06-15,12015,12035,11800,11920,153752
2023-06-16,12030,12310,11990,12295,260104
2023-06-19,12370,13420,12315,13390,556551
2023-06-20,13415,13560,13240,13525,439557
2023-06-21,13500,13620,13165,13200,304758
2023-06-22,13180,13415,13100,13210,210196
2023-06-23,13210,13210,12880,12930,194477
2023-06-26,12915,12915,12685,12840,140023
2023-06-27,12750,12925,12650,12700,133591
2023-06-28,12715,12800,12500,12505,121866
2023-06-29,12585,12775,12455,12535,182820
2023-06-30,12605,12860,12545,12740,198615
2023-07-03,12810,12810,12545,12750,170372
2023-07-04,12770,12960,12625,12960,183909
2023-07-05,12960,13180,12820,13100,285484
2023-07-06,13130,13150,12830,12835,229538
2023-07-07,12845,12915,12705,12865,378623
2023-07-10,13060,13085,12760,12815,179388
2023-07-11,12885,13445,12790,13390,322523
2023-07-12,13465,13470,13210,13385,254506
2023-07-13,13445,13510,13260,13490,209686
2023-07-14,13565,13565,13110,13120,319424
2023-07-17,13070,13070,12535,12610,412980
2023-07-18,12600,12610,12400,12445,215920
2023-07-19,12445,12570,12310,12385,345539
2023-07-20,12360,12485,12285,12420,162062
2023-07-21,12410,12410,12190,12320,138278
2023-07-24,12320,12390,12135,12225,272428
2023-07-25,12225,12615,12210,12555,273235
2023-07-26,12655,12670,11820,11935,356348
2023-07-27,12380,12995,11760,11760,715490
2023-07-28,11850,11850,11495,11550,359956
2023-07-31,11645,11990,11600,11900,279141
2023-08-01,11910,11960,11750,11885,301196
2023-08-02,11905,12180,11705,11800,459288
2023-08-03,11790,11800,11550,11605,211132
2023-08-04,11610,11745,11585,11605,191403
2023-08-07,11700,11780,11470,11650,195331
2023-08-08,11650,11650,11440,11445,213698
2023-08-09,11445,11490,11310,11485,143148
2023-08-10,11480,11485,11190,11190,152581
2023-08-11,11190,11530,11190,11505,325325
2023-08-14,11505,11505,11120,11200,169926
2023-08-16,11120,11130,10865,10880,121738
2023-08-17,10805,10900,10610,10805,155040
2023-08-18,10710,10885,10690,10750,108002
2023-08-21,10750,10975,10750,10895,92171
2023-08-22,10905,10970,10640,10885,120189
2023-08-23,10860,11070,10860,11045,138599
2023-08-24,11060,11135,10845,10995,134109
2023-08-25,10945,11030,10865,10930,71846
2023-08-28,11000,11150,10960,11150,79894
2023-08-29,11160,11360,11095,11335,161034
2023-08-30,11480,11480,11290,11350,142081
2023-08-31,11400,11440,11310,11400,119312
2023-09-01,11445,11600,11370,11370,159318
2023-09-04,11470,11510,11375,11405,109409
2023-09-05,11470,11470,11305,11365,99390
2023-09-06,11365,11715,11340,11610,234886
2023-09-07,11620,11650,11230,11255,178202
2023-09-08,11325,11540,11270,11410,168889
2023-09-11,11480,11695,11420,11600,248125
2023-09-12,11625,11715,11300,11315,235464
2023-09-13,11295,11335,11130,11130,108327
2023-09-14,11125,11240,11125,11215,92843
2023-09-15,11300,11440,11265,11270,93043
2023-09-18,11325,11365,11230,11245,65839
2023-09-19,11215,11280,11075,11080,61642
2023-09-20,11025,11135,10985,11075,104121
2023-09-21,11000,11205,11000,11000,134176
2023-09-22,10955,10955,10715,10835,105624
2023-09-25,10840,10915,10655,10655,59770
2023-09-26,10700,10800,10600,10605,78343
2023-09-27,10465,10720,10430,10720,84200
2023-10-04,10700,10700,10310,10345,86782
2023-10-05,10420,10495,10290,10290,56141
2023-10-06,10340,10380,10275,10370,33432
2023-10-10,10995,11120,10675,10785,418278
2023-10-11,10775,10920,10500,10880,184617
2023-10-12,10965,11035,10790,10935,106542
2023-10-13,10845,10945,10710,10925,144008
2023-10-16,11000,11160,10675,10700,176345
2023-10-17,10695,10865,10625,10690,153637
2023-10-18,10770,10830,10610,10690,77733
2023-10-19,10640,10640,10345,10345,124991
2023-10-20,10300,10390,10135,10165,191638
2023-10-23,10055,10565,10055,10515,301757
2023-10-24,10605,10605,10115,10360,150517
2023-10-25,10425,10620,10325,10495,142565
2023-10-26,10385,10480,10195,10220,136694
2023-10-27,10185,10185,10000,10020,95869
2023-10-30,10045,10485,10030,10445,221914
2023-10-31,10450,10540,9940,10015,178915
2023-11-01,10100,10535,10100,10460,236007
2023-11-02,10565,10715,10510,10620,159024
2023-11-03,10720,10915,10710,10900,107581
2023-11-06,11165,11165,10900,11075,213907
2023-11-07,11075,11240,11045,11165,223597
2023-11-08,11230,11240,10950,10975,87972
2023-11-09,10990,11145,10920,11070,57900
2023-11-10,11015,11195,10920,11170,87202
2023-11-13,11205,11330,11065,11100,91470
2023-11-14,11115,11280,11105,11250,86441
2023-11-15,11300,11375,11240,11350,78777
2023-11-16,11320,11320,11000,11110,139685
2023-11-17,11110,11110,10975,11035,173880
2023-11-20,11085,11160,11005,11145,44508
2023-11-21,11220,11220,11070,11080,86567
2023-11-22,11080,11240,11025,11185,73822
2023-11-23,11390,11395,11250,11275,101517
2023-11-24,11320,11330,11155,11185,36848
2023-11-27,11185,11220,11055,11090,75777
2023-11-28,11170,11185,11060,11170,44852
2023-11-29,11170,11395,11065,11290,89469
2023-11-30,11350,11480,11320,11470,209326
2023-12-01,11430,12035,11430,11930,621044
2023-12-04,11970,12160,11825,12045,388869
2023-12-05,12050,12190,11880,11900,193570
2023-12-06,11890,12055,11850,12040,220723
2023-12-07,12050,12155,11835,11835,176540
2023-12-08,11840,11880,11650,11780,119814
2023-12-11,12140,12375,11920,12105,361702
2023-12-12,11900,12165,11810,12100,263139
2023-12-13,12000,12170,11795,11815,144462
2023-12-14,11945,12000,11810,11840,207673
2023-12-15,11840,12030,11840,11935,100725
2023-12-18,12010,12020,11860,12010,176817
2023-12-19,11965,11975,11860,11900,63022
2023-12-20,11870,12050,11870,12045,94490
2023-12-21,12000,12035,11870,11955,214674
2023-12-22,11960,12125,11925,11990,133799
2023-12-26,11995,12040,11795,11805,70941
2023-12-27,11840,12005,11820,11970,174026
2023-12-28,12050,12120,11990,12120,168719
2024-01-02,12180,12285,12125,12285,160625
2024-01-03,12260,12590,12120,12550,464392
2024-01-04,12580,12735,12330,12430,420485
2024-01-05,12510,12765,12240,12325,340627
