Date,Open,High,Low,Close,Volume
2024-04-09,9330,9600,9330,9415,335120.0
2024-04-11,9370,9370,9140,9195,405850.0
2024-04-12,9230,9575,9120,9525,462130.0
2024-04-15,9465,9750,9365,9710,576470.0
2024-04-16,9615,9705,9315,9400,743310.0
2024-04-17,9450,9510,9365,9415,1580000.0
2024-04-18,9510,10410,9510,10230,1680000.0
2024-04-19,10270,10370,9895,10350,1880000.0
2024-04-22,10460,10665,10185,10260,1440000.0
2024-04-23,10360,10890,10355,10690,1810000.0
2024-04-24,11400,11400,10715,10850,1870000.0
2024-04-25,10765,10900,10520,10620,1330000.0
2024-04-26,10620,11040,10620,10855,1120000.0
2024-04-29,11010,11010,10710,10910,3050000.0
2024-04-30,10910,10920,10690,10745,765590.0
2024-05-02,10725,10845,10555,10570,642360.0
2024-05-03,10635,10635,10425,10450,514169.99999999994
2024-05-07,10480,10835,10390,10820,857450.0
2024-05-08,10815,10960,10715,10835,2620000.0
2024-05-09,10840,10995,10770,10830,835290.0
2024-05-10,10940,11000,10650,10810,600800.0
2024-05-13,10875,11260,10865,11230,1070000.0
2024-05-14,11325,11325,11015,11160,913550.0
2024-05-16,11200,11210,10990,11160,1060000.0
2024-05-17,11075,11100,10745,10825,1200000.0
2024-05-20,10845,10880,10645,10690,582800.0
2024-05-21,10690,10790,10635,10675,703830.0
2024-05-22,10700,10700,10280,10355,1190000.0
2024-05-23,10330,10540,10260,10495,1010000.0
2024-05-24,10360,10815,10315,10750,650990.0
2024-05-27,10900,10900,10525,10655,633650.0
2024-05-28,10655,10815,10565,10665,690400.0
2024-05-29,10625,10625,10470,10505,428110.0
2024-05-30,10500,10550,10315,10370,464080.0
2024-05-31,10365,10400,10200,10270,454950.0
2024-06-03,10280,10845,10240,10600,1030000.0
2024-06-04,10550,10575,10335,10360,476140.0
2024-06-05,10385,10460,10200,10255,452080.0
2024-06-07,10300,10500,10280,10445,577450.0
2024-06-10,10375,10520,10315,10445,337750.0
2024-06-11,10650,10650,10385,10400,354170.0
2024-06-12,10370,10550,10215,10515,711950.0
2024-06-13,10470,10600,10435,10495,737530.0
2024-06-14,10480,10910,10420,10795,1350000.0
2024-06-17,10870,10870,10655,10735,677630.0
2024-06-18,10795,10795,10635,10665,492630.0
2024-06-19,10695,11015,10695,11015,1150000.0
2024-06-20,11145,11185,10955,11020,754050.0
2024-06-21,11170,11370,10960,11055,1120000.0
2024-06-24,11060,11375,11000,11295,4770000.0
2024-06-25,11390,11710,11280,11325,3480000.0
2024-06-26,11325,11425,11190,11240,976460.0
2024-06-27,11200,11380,11100,11365,761340.0
2024-06-28,11365,11465,11280,11420,738660.0
2024-07-01,11490,11650,11390,11605,1440000.0
2024-07-02,11700,11700,11295,11450,929170.0
2024-07-03,11485,11490,11065,11235,907300.0
2024-07-04,11185,11435,11100,11320,1330000.0
2024-07-05,11335,11355,11140,11180,695370.0
2024-07-08,11180,11500,11180,11425,763210.0
2024-07-09,11450,11475,11350,11380,472610.0
2024-07-10,11340,11720,11340,11580,1200000.0
2024-07-11,11600,11770,11525,11620,687530.0
2024-07-12,11550,11700,11460,11635,670940.0
2024-07-15,11700,11895,11695,11730,2710000.0
2024-07-16,11850,12145,11745,12140,1850000.0
2024-07-17,12255,12665,12250,12485,8410000.0
2024-07-18,12485,12690,12255,12360,2160000.0
2024-07-19,12350,12360,11910,12000,1980000.0
2024-07-22,12000,12475,12000,12390,1790000.0
2024-07-23,12390,12800,12335,12800,2760000.0
2024-07-24,12825,12925,12530,12750,2320000.0
2024-07-25,12490,12650,12110,12400,3370000.0
2024-07-26,12720,13710,12685,13510,4860000.0
2024-07-29,13610,13805,13340,13620,1980000.0
2024-07-30,13580,13650,13205,13445,1720000.0
2024-07-31,13410,13960,13410,13600,2700000.0
2024-08-01,13475,14060,13355,13965,1700000.0
2024-08-02,13655,13870,13250,13350,2530000.0
2024-08-05,12770,12890,11010,11790,5560000.0
2024-08-06,12400,12850,12140,12630,4520000.0
2024-08-07,12755,12940,12450,12710,5270000.0
2024-08-08,12545,13295,12320,13195,2380000.0
2024-08-09,13490,13545,13130,13210,1740000.0
2024-08-12,13270,13310,12935,13160,1880000.0
2024-08-13,13015,13265,12765,12835,1590000.0
2024-08-14,12965,12980,12650,12965,1300000.0
2024-08-16,13105,13285,12735,12965,3510000.0
2024-08-19,13025,13370,12985,13065,2150000.0
2024-08-20,13250,13400,12995,13395,1660000.0
2024-08-21,13320,13445,13110,13245,2069999.9999999998
2024-08-22,13290,13290,12515,12770,3640000.0
2024-08-23,12600,12865,12560,12750,1220000.0
2024-08-26,12775,12775,12305,12370,2580000.0
2024-08-27,12370,12700,12285,12460,1540000.0
2024-08-28,12460,12715,12390,12410,1590000.0
2024-08-29,12350,12495,12260,12300,2960000.0
2024-08-30,12445,12710,12355,12710,2180000.0
2024-09-02,12775,12775,12305,12380,1920000.0
2024-09-03,12405,12475,12255,12400,1760000.0
2024-09-04,11950,12200,11885,12035,1710000.0
2024-09-05,12120,12225,11500,11655,2360000.0
2024-09-06,11655,11680,11310,11505,1370000.0
2024-09-09,11175,11590,11155,11590,933090.0
2024-09-10,11660,11800,11550,11640,1250000.0
2024-09-11,11820,11860,11460,11600,1350000.0
2024-09-12,11700,11720,11475,11670,1230000.0
2024-09-13,11715,12195,11715,12160,2060000.0
2024-09-19,12355,12485,12260,12445,1630000.0
2024-09-20,12620,12870,12545,12735,1950000.0
2024-09-23,12835,12895,12680,12745,952270.0
2024-09-24,12760,12830,12635,12830,1690000.0
2024-09-25,12950,13150,12720,12725,1330000.0
2024-09-26,12725,12900,12650,12765,947620.0
2024-09-27,12745,12790,12040,12110,2500000.0
2024-09-30,12110,12235,11975,12080,1320000.0
2024-10-02,11925,12195,11845,12050,1230000.0
2024-10-04,12035,12215,12025,12205,916910.0
2024-10-07,12205,12205,11705,12070,1860000.0
2024-10-08,12040,12220,12010,12075,837940.0
2024-10-10,12150,12515,12125,12415,1350000.0
2024-10-11,12480,12510,12065,12095,1040000.0
2024-10-14,12095,12195,12065,12180,521039.99999999994
2024-10-15,12255,12685,12250,12535,1600000.0
2024-10-16,12435,12635,12350,12500,990830.0
2024-10-17,12555,12830,12325,12800,1150000.0
2024-10-18,12800,12830,12530,12580,685930.0
2024-10-21,12610,12645,12415,12600,556580.0
2024-10-22,12570,12765,12405,12575,752720.0
2024-10-23,12615,12955,12600,12700,1950000.0
2024-10-24,12575,12760,12560,12595,519730.0
2024-10-25,12600,12835,12555,12670,900930.0
2024-10-28,12670,12670,12210,12235,1620000.0
2024-10-29,12235,12400,12080,12220,635680.0
2024-10-30,12215,12215,11975,12095,583490.0
2024-10-31,12090,12115,11790,11970,1360000.0
